"AIDS Diagnoses Rate (Per 100,000 people)","All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)","Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)","HIV Diagnoses Rate (Per 100,000 people)","HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Homicide Rate (Age-Adjusted; Per 100,000 people)","Infant Mortality Rate (Per 1,000 live births)","Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Median Household Income (Dollars),"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Percent 18+ High School Graduates,Percent Below 200% Poverty Level,Percent Foreign Born,Percent of Children Living in Poverty,Percent of Low Birth Weight Babies Born,"Persons Living with HIV/AIDS Rate (Per 100,000 people)","Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)","Tuberculosis Incidence Rate (Per 100,000 people)","Suicide Rate  (Age-Adjusted; Per 100,000 people)",Unemployment Rate Ages 16+,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)","Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",...26,Place,Latitude,Longitude
39.6,160.3,692,16.5,14.5,151.6,73.8,9.6,10.6,5.5,37.4,46466,7.3,89,45.3,8.1,40.3,10,1581.7,10.5,31.47296811180101,11.2,14.7,19.25880356283166,-0.15059078349879518,"Atlanta (Fulton County), GA","Atlanta (Fulton County), GA",33.7489924,-84.3902644
72.3,213.9,1510.9860234172224,69.54958893122318,24.298649443769797,241.6,89.9,20,62.15727449620705,9.7,108.55187872857265,39241,5.991671428725259,80.8,46.6,7.5,34.1,11.8,2541.1,85.27253022382754,3.5,-12.306359230271703,15.5,31.6,-4.566807517651239,"Baltimore, MD","Baltimore, MD",39.2908816,-76.610759
61.692086158696995,186.3,691,19.6,4.4,131.1,28.8,3.1,6.6,4.7,45.2,51642,5,86.4,38.9,26.2,27.5,8.4,885.5,15.7,6.6,5.4,9.6,6.3525157715100296,1.7654732032962932,"Boston, MA","Boston, MA",42.3554334,-71.060511
21.7,186.1,787.5,25.6,15.4,210.5,39.8,4.4,15.7,7.4,46.2,45214,6.5,81.5,45.4,21.4,34.4,9.7,826.5,20.2,5.4,7.2,13.7,12.8,0.7,"Chicago, IL","Chicago, IL",41.8755616,-87.6244212
22.847378908678227,393.27524582867585,1049.8,38.6,72.25076058000893,339.2,35.448174691940665,28.16789630910991,24.9,23.160299013006835,109.41251867194681,24257,7.3,75.8,63,4.3,55.7,30.418614257928876,-2261.4744259255235,13.9,-39.04513058373087,10.1,19.4,11.1,1,"Cleveland, OH","Cleveland, OH",41.4996574,-81.6936772
18.61515003986201,96.56122971966198,481.4101684531706,15.47425472518322,-1.5505232864496665,209.38571187303285,32.9,9.94018045680168,5.074811467172912,5.2677098765955055,28.58201145970355,41354,6.907233826355374,74.8,51.1,24.2,38.5,10.490574668438649,625,27.515913072428894,7.5,-0.8718085622554336,9.3,15.5,1.4,"Dallas, TX","Dallas, TX",32.7762719,-96.7968559
15.5,177.6,682.9,21.1,10.9,158.1,24,2.9,6.6,5.6,39.5,50488,6.5,85.7,38.3,15.4,28.5,9,515,13.9,1.7,19.4,7.2,8.3,1.3,"Denver, CO","Denver, CO",39.7392364,-104.984862
8.5,217.6,1032.5,28.4,47.2,334.6,38.1,12.7,47.9,36.33762135294868,61.2,23600,12.9,76.8,65.3,5,61.4,40.9270065814691,744.2,17.3,5.2,9,27.7,102.58934938769424,-10.997263397334518,"Detroit, MI","Detroit, MI",42.3315509,-83.046640300000007
2.1,174.3,820.1,22.9,10,178.9,10.4,2.3,4.3,6.9,46.2,57131.52930954608,9.9,90.54797579190858,41.6,6.583067327337179,12.009630165833764,8.3,254.95661176832493,16.9,4,11.9,7.9,18.8,1.9,"Fort Worth (Tarrant County), TX","Fort Worth (Tarrant County), TX",32.753177,-97.3327459
19.1,160.3,744.9,21.9,5.8,171.9,31.6,4.7,-35.43226033355834,6.1,39.2,52430,9.7,75.9,47.8,27.9,37.6,1.6,521.4,13.4,9.2,10.6,9.7,7.2,0.9,"Houston, TX","Houston, TX",29.7589382,-95.3676974
