STATE;STUSAB;STATE_NAME;STATENS
37;NC;North Carolina;01027616
21;KY;Kentucky;01779786
28;MS;Mississippi;01779790
08;CO;Colorado;01779779
04;AZ;Arizona;01779777
13;GA;Georgia;01705317
23;ME;Maine;01779787
24;MD;Maryland;01714934
32;NV;Nevada;01779793
35;NM;New Mexico;00897535
42;PA;Pennsylvania;01779798
69;MP;Northern Mariana Islands;01779809
18;IN;Indiana;00448508
54;WV;West Virginia;01779805
09;CT;Connecticut;01779780
34;NJ;New Jersey;01779795
48;TX;Texas;01779801
56;WY;Wyoming;01779807
16;ID;Idaho;01779783
41;OR;Oregon;01155107
44;RI;Rhode Island;01219835
45;SC;South Carolina;01779799
10;DE;Delaware;01779781
36;NY;New York;01779796
55;WI;Wisconsin;01779806
17;IL;Illinois;01779784
38;ND;North Dakota;01779797
25;MA;Massachusetts;00606926
39;OH;Ohio;01085497
46;SD;South Dakota;01785534
60;AS;American Samoa;01802701
06;CA;California;01779778
02;AK;Alaska;01785533
27;MN;Minnesota;00662849
29;MO;Missouri;01779791
15;HI;Hawaii;01779782
51;VA;Virginia;01779803
47;TN;Tennessee;01325873
01;AL;Alabama;01779775
20;KS;Kansas;00481813
40;OK;Oklahoma;01102857
11;DC;District of Columbia;01702382
12;FL;Florida;00294478
19;IA;Iowa;01779785
26;MI;Michigan;01779789
49;UT;Utah;01455989
05;AR;Arkansas;00068085
22;LA;Louisiana;01629543
53;WA;Washington;01779804
33;NH;New Hampshire;01779794
30;MT;Montana;00767982
72;PR;Puerto Rico;01779808
78;VI;U.S. Virgin Islands;01802710
66;GU;Guam;01802705
74;UM;U.S. Minor Outlying Islands;01878752
31;NE;Nebraska;01779792
50;VT;Vermont;01779802
